AA	1112
AB	10714
AC	18941
AD	16354
AE	749
AF	5394
AG	10040
AH	2098
AI	15514
AJ	713
AK	5344
AL	41820
AM	12621
AN	75346
AO	669
AP	10072
AQ	256
AR	45330
AS	39885
AT	52667
AU	5392
AV	10120
AW	3953
AX	728
AY	11231
AZ	558
BA	7682
BB	692
BC	258
BD	107
BE	23549
BF	62
BG	53
BH	118
BI	4387
BJ	434
BK	10
BL	8908
BM	219
BN	223
BO	8771
BP	55
BQ	8
BR	6374
BS	1661
BT	665
BU	9103
BV	228
BW	122
BY	7838
BZ	1
CA	20693
CB	386
CC	3221
CD	303
CE	24828
CF	348
CG	163
CH	23799
CI	10428
CJ	28
CK	6554
CL	6840
CM	403
CN	116
CO	30003
CP	356
CQ	227
CR	6553
CS	1487
CT	14704
CU	5637
CV	106
CW	304
CX	9
CY	1584
CZ	99
DA	18709
DB	7928
DC	4100
DD	4074
DE	30701
DF	4214
DG	2678
DH	4452
DI	23728
DJ	669
DK	421
DL	3884
DM	4002
DN	3200
DO	14759
DP	3770
DQ	231
DR	5963
DS	11140
DT	17578
DU	5938
DV	1401
DW	5691
DX	15
DY	2738
DZ	48
EA	48511
EB	10803
EC	29973
ED	48794
EE	22980
EF	15013
EG	8136
EH	8462
EI	19862
EJ	1127
EK	2423
EL	26592
EM	22178
EN	58510
EO	16774
EP	16985
EQ	2149
ER	88069
ES	65530
ET	40358
EU	4589
EV	11724
EW	17718
EX	7353
EY	8259
EZ	274
FA	9148
FB	1189
FC	2104
FD	1012
FE	9620
FF	6759
FG	617
FH	1777
FI	13440
FJ	216
FK	166
FL	3223
FM	1507
FN	634
FO	19796
FP	1798
FQ	43
FR	9765
FS	2399
FT	15571
FU	4252
FV	270
FW	1354
FX	10
FY	862
FZ	26
GA	10583
GB	1541
GC	1467
GD	1050
GE	16750
GF	1590
GG	1729
GH	11344
GI	7781
GJ	123
GK	353
GL	3718
GM	1350
GN	3077
GO	8645
GP	1577
GQ	91
GR	7709
GS	4710
GT	7506
GU	3782
GV	213
GW	1750
GX	15
GY	872
GZ	24
HA	44761
HB	1197
HC	1859
HD	1029
HE	111075
HF	916
HG	508
HH	1525
HI	29978
HJ	142
HK	147
HL	1266
HM	1860
HN	1648
HO	21765
HP	1178
HQ	81
HR	3888
HS	2831
HT	10795
HU	2540
HV	217
HW	1925
HX	7
HY	1713
HZ	106
IA	9807
IB	3022
IC	27056
ID	13238
IE	13926
IF	6779
IG	10550
IH	593
II	425
IJ	136
IK	2849
IL	18317
IM	11483
IN	95364
IO	24403
IP	2917
IQ	393
IR	12778
IS	44771
IT	46050
IU	519
IV	10038
IW	757
IX	978
IY	80
IZ	955
JA	1148
JB	8
JC	7
JD	2
JE	1289
JF	5
JG	4
JH	5
JI	172
JJ	9
JK	2
JL	3
JM	10
JN	5
JO	2594
JP	6
JQ	1
JR	6
JS	6
JT	3
JU	2621
JV	6
JW	4
KA	2352
KB	589
KC	428
KD	310
KE	11866
KF	540
KG	192
KH	697
KI	5715
KJ	57
KK	95
KL	764
KM	404
KN	2106
KO	2063
KP	423
KQ	16
KR	358
KS	3202
KT	1617
KU	279
KV	113
KW	852
KX	4
KY	782
KZ	1
LA	24601
LB	2911
LC	2640
LD	12521
LE	34631
LF	3216
LG	956
LH	1477
LI	27988
LJ	199
LK	1306
LL	26545
LM	2290
LN	1082
LO	16815
LP	2654
LQ	70
LR	1765
LS	8561
LT	8253
LU	4678
LV	1345
LW	2334
LX	2
LY	17413
LZ	24
MA	23986
MB	4679
MC	965
MD	430
ME	28674
MF	770
MG	230
MH	835
MI	13027
MJ	130
MK	162
ML	620
MM	4700
MN	699
MO	14448
MP	9531
MQ	34
MR	2268
MS	4331
MT	3658
MU	4457
MV	106
MW	1194
MX	1
MY	1693
MZ	4
NA	24233
NB	4502
NC	19655
ND	50185
NE	30666
NF	5757
NG	42968
NH	4148
NI	19677
NJ	1050
NK	3116
NL	4697
NM	4569
NN	5473
NO	23176
NP	3540
NQ	310
NR	2513
NS	23425
NT	57803
NU	3589
NV	2646
NW	5278
NX	84
NY	5192
NZ	175
OA	6599
OB	7193
OC	8647
OD	8480
OE	3562
OF	37893
OG	4550
OH	3369
OI	5711
OJ	445
OK	3592
OL	14567
OM	22849
ON	64084
OO	10070
OP	12087
OQ	132
OR	49054
OS	14955
OT	23103
OU	37687
OV	8790
OW	15254
OX	530
OY	2032
OZ	220
PA	14297
PB	412
PC	420
PD	284
PE	19166
PF	418
PG	105
PH	3222
PI	5258
PJ	29
PK	49
PL	10464
PM	749
PN	128
PO	15529
PP	5745
PQ	21
PR	16559
PS	2877
PT	4490
PU	4490
PV	36
PW	578
PX	3
PY	519
PZ	12
QA	5
QB	9
QC	34
QD	4
QE	5
QF	5
QH	1
QI	15
QJ	1
QK	1
QM	8
QN	2
QO	2
QP	7
QR	3
QS	3
QT	7
QU	5150
QV	1
QW	5
RA	32713
RB	3705
RC	7948
RD	10426
RE	71178
RF	3543
RG	4959
RH	3293
RI	31682
RJ	500
RK	4952
RL	5577
RM	10175
RN	7578
RO	32543
RP	4482
RQ	159
RR	6693
RS	22346
RT	25021
RU	5854
RV	3074
RW	4059
RX	115
RY	10454
RZ	60
SA	31656
SB	7164
SC	11239
SD	4069
SE	37028
SF	6384
SG	2055
SH	18986
SI	30722
SJ	713
SK	2462
SL	5490
SM	7258
SN	5083
SO	26755
SP	12738
SQ	722
SR	3796
SS	22385
ST	62840
SU	12446
SV	946
SW	11042
SX	14
SY	2712
SZ	62
TA	29234
TB	5051
TC	5781
TD	2635
TE	46429
TF	3838
TG	1889
TH	134967
TI	53123
TJ	477
TK	579
TL	6240
TM	4711
TN	2145
TO	52198
TP	3787
TQ	172
TR	18913
TS	21332
TT	24898
TU	9581
TV	687
TW	10983
TX	9
TY	9388
TZ	175
UA	4902
UB	3633
UC	7057
UD	3472
UE	5104
UF	790
UG	5662
UH	243
UI	4303
UJ	65
UK	722
UL	13300
UM	4325
UN	16670
UO	387
UP	5972
UQ	12
UR	20363
US	17549
UT	18042
UU	42
UV	201
UW	305
UX	207
UY	451
UZ	92
VA	4499
VB	50
VC	76
VD	67
VE	33104
VF	36
VG	17
VH	52
VI	11047
VJ	5
VK	16
VL	42
VM	43
VN	34
